team,event,gymnast1_score,gymnast2_score,gymnast3_score,gymnast4_score,gymnast5_score,event_total
Oklahoma,vault,9.975,9.9625,9.9375,9.8875,9.9,49.6625
Oklahoma,bars,9.9375,9.9,9.975,9.95,9.9625,49.725
Oklahoma,beam,9.9375,9.9,9.9,9.9625,9.925,49.625
Oklahoma,floor,9.875,9.7375,9.85,9.875,9.85,49.1875
Oklahoma,total,NA,NA,NA,NA,NA,198.2
Florida,vault,9.9875,9.9125,9.8375,9.8,9.8125,49.35
Florida,bars,9.975,9.875,9.9125,9.925,9.8375,49.525
Florida,beam,9.9,9.9,9.9125,9.8625,9.925,49.5
Florida,floor,10,9.95,9.95,9.9,9.9125,49.7125
Florida,total,NA,NA,NA,NA,NA,198.0875
Utah,vault,9.8375,9.8125,9.975,9.8375,9.7625,49.225
Utah,bars,9.95,9.9,9.9,9.8875,9.9125,49.55
Utah,beam,9.9,9.9,9.875,9.8875,9.95,49.5125
Utah,floor,9.9,9.9,9.8875,9.9125,9.8625,49.4625
Utah,total,NA,NA,NA,NA,NA,197.75
Auburn,vault,9.8625,9.9375,9.7875,9.8875,9.8625,49.3375
Auburn,bars,9.9125,9.85,9.8875,9.9375,9.8375,49.425
Auburn,beam,9.9,9.8375,9.8,9.8375,9.825,49.2
Auburn,floor,9.95,9.825,9.8625,9.9375,9.8125,49.3875
Auburn,total,NA,NA,NA,NA,NA,197.35
